"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia,2023-02-28
Ireland,"1,702,523",,"8,629",,"1,692,179",+115,"1,715",11,"339,135","1,719","13,024,205","2,594,360","5,020,199",Europe,2023-02-28
Pakistan,"1,576,962",+23,"30,643",,"1,538,689",,"7,630",13,"6,872",134,"30,570,862","133,213","229,488,994",Asia,2023-02-28
Norway,"1,479,032",+53,"5,112",,"1,473,216",+13,704,20,"268,360",928,"11,002,430","1,996,315","5,511,370",Europe,2023-02-28
Finland,"1,462,169",,"8,892",,"1,451,778",+76,"1,499",21,"263,219","1,601","12,047,792","2,168,835","5,554,960",Europe,2023-02-28
Kazakhstan,"1,407,823",,"13,846",,"1,383,020",,"10,957",24,"73,305",721,"11,575,012","602,707","19,205,043",Asia,2023-02-28
Slovenia,"1,328,222",+585,"7,071",,"1,317,265",+379,"3,886",6,"639,172","3,403","2,837,248","1,365,352","2,078,034",Europe,2023-02-28
Lithuania,"1,304,750",+618,"9,587",1.0,"1,289,339",+383,"5,824",5,"490,193","3,602","10,376,092","3,898,283","2,661,708",Europe,2023-02-28
Bulgaria,"1,296,853",+80,"38,217",1.0,"1,255,662",+49,"2,974",27,"189,471","5,584","11,055,587","1,615,228","6,844,597",Europe,2023-02-28
Morocco,"1,272,454",+8,"16,296",,"1,256,091",+8,67,3,"33,687",431,"12,983,320","343,722","37,772,756",Africa,2023-02-28
Croatia,"1,268,992",,"17,971",,"1,250,549",,472,10,"312,615","4,427","5,503,682","1,355,825","4,059,286",Europe,2023-02-28
Guatemala,"1,236,406",+410,"20,173",4.0,"1,215,077",+420,"1,156",5,"66,531","1,086","6,925,325","372,649","18,584,039",North America,2023-02-28
Lebanon,"1,231,840",,"10,828",,"1,087,587",,"133,425",74,"184,273","1,620","4,795,578","717,380","6,684,849",Asia,2023-02-28
Costa Rica,"1,199,055",,"9,214",,"860,711",,"329,130",52,"231,373","1,778","4,659,757","899,158","5,182,354",North America,2023-02-28
Bolivia,"1,193,009",+76,"22,365",,"1,157,640",+322,"13,004",220,"99,478","1,865","2,705,422","225,590","11,992,656",South America,2023-02-28
Tunisia,"1,150,962",+169,"29,331",1.0,,,,44,"95,542","2,435","5,002,248","415,240","12,046,656",Africa,2023-02-28
Cuba,"1,112,598",+5,"8,530",,"1,103,977",+6,91,,"98,411",754,"14,317,478","1,266,400","11,305,652",North America,2023-02-28
Ecuador,"1,056,578",,"36,008",,"1,020,570",,0,759,"58,331","1,988","3,082,403","170,173","18,113,361",South America,2023-02-28
